"Domain","Function","Process_Id","Thread_Id","Correlation_Id","Start_Timestamp","End_Timestamp"
"HSA_CORE_API","hsa_agent_get_info",16,16,81636,81452531415695,81452531415728
"HSA_CORE_API","hsa_agent_get_info",16,16,81637,81452531416084,81452531416119
"HSA_CORE_API","hsa_agent_get_info",16,16,81638,81452531416697,81452531416733
"HSA_CORE_API","hsa_agent_get_info",16,16,81639,81452531417085,81452531417120
"HSA_CORE_API","hsa_agent_get_info",16,16,81640,81452531417628,81452531417687
"HSA_CORE_API","hsa_agent_get_info",16,16,81641,81452531418044,81452531418097
"HSA_CORE_API","hsa_agent_get_info",16,16,81642,81452531420409,81452531420469
"HSA_CORE_API","hsa_agent_get_info",16,16,81643,81452531420828,81452531420882
"HSA_CORE_API","hsa_agent_get_info",16,16,81644,81452531421285,81452531421823
"HSA_CORE_API","hsa_agent_get_info",16,16,81645,81452531422192,81452531422249
"HSA_CORE_API","hsa_system_get_info",16,16,81646,81452531454637,81452531454795
"HSA_CORE_API","hsa_system_get_info",16,16,81647,81452531455234,81452531455391
"HSA_CORE_API","hsa_agent_get_info",16,16,81648,81452531455742,81452531455795
"HSA_CORE_API","hsa_system_get_info",16,16,81649,81452531456246,81452531456309
"HSA_AMD_EXT_API","hsa_amd_memory_pool_allocate",16,16,81650,81452531459127,81452531719253
"HSA_AMD_EXT_API","hsa_amd_agents_allow_access",16,16,81651,81452531720486,81452531779281
"HSA_CORE_API","hsa_signal_create",16,16,81652,81452531780784,81452531783577
"HSA_AMD_EXT_API","hsa_amd_memory_pool_allocate",16,16,81653,81452531793363,81452532615356
"HSA_AMD_EXT_API","hsa_amd_agents_allow_access",16,16,81654,81452532618351,81452532636817
"HSA_AMD_EXT_API","hsa_amd_memory_pool_allocate",16,16,81655,81452532642271,81452532664348
"HSA_AMD_EXT_API","hsa_amd_agents_allow_access",16,16,81656,81452532664790,81452532715428
"HSA_AMD_EXT_API","hsa_amd_memory_pool_free",16,16,85893,86884996416542,86884996577701
"HSA_AMD_EXT_API","hsa_amd_memory_pool_free",16,16,85894,86884996584665,86884996646003
"HSA_AMD_EXT_API","hsa_amd_memory_pool_free",16,16,85895,86884996648504,86884996752929
"HSA_CORE_API","hsa_signal_destroy",16,16,85896,86884996761057,86884996763833
"HSA_CORE_API","hsa_shut_down",16,16,85897,86884996766768,86884997250841
